Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,abstract_clean,text_for_modeling,abstract_word_count,is_management_accounting
Nowotny S.; Hirsch B.; Nitzl C.,"Nowotny, Steven (57574692500); Hirsch, Bernhard (15044740300); Nitzl, Christian (57044867600)",57574692500; 15044740300; 57044867600,The influence of organizational structure on value-based management sophistication,2022,Management Accounting Research,56,,100797,,,21,10.1016/j.mar.2022.100797,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128151311&doi=10.1016%2Fj.mar.2022.100797&partnerID=40&md5=84095e6c73902d5161423a80300c9e8f,"Despite the widespread use of value-based management (VBM) in European companies, studies investigating the reasons for the differences in its sophistication remain scarce and are predominantly focused on environmental and intra-organizational aspects. Since the structure of a firm as a major organizational determinant is assumed to have a considerable impact on the fit between an organization and an administrative innovation, we examine the influence of organizational structure on VBM sophistication. Based on survey data from 117 large for-profit firms in Austria, Germany and Switzerland, our findings indicate that the organizational structure variables centralization, formalization and horizontal integration are positively associated with VBM sophistication. Our data provide insight into the interconnection of specific organizational structure variables on particular VBM subdimensions. The findings illustrate that a high level of centralization is positively associated with the political fit of an organization with VBM, while vertical differentiation seems to have a negative relationship with the cultural fit with VBM. High levels of formalization and horizontal integration indicate a technical, political and cultural fit with VBM, which helps to achieve and prevail a high extent of VBM implementation in late diffusion stages. While firms that are listed on the stock market show a positive association with VBM sophistication, the interconnections of organizational structure variables with VBM sophistication appear both in listed and unlisted firms. © 2022 The Authors",Diffusion theory; Management accounting innovation (MAI); Organizational fit; Organizational structure; PLS-SEM; Shareholder value; Value-based management (VBM),,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85128151311,despite widespread value management vbm european companies studies investigating reasons differences sophistication remain scarce predominantly focused environmental intra organizational aspects since structure firm major organizational determinant assumed considerable impact fit organization administrative innovation influence organizational structure vbm sophistication survey 117 large profit firms austria germany switzerland findings indicate organizational structure variables centralization formalization horizontal integration positively associated vbm sophistication insight interconnection specific organizational structure variables particular vbm subdimensions findings illustrate high level centralization positively associated political fit organization vbm vertical differentiation seems negative relationship cultural fit vbm high levels formalization horizontal integration indicate technical political cultural fit vbm helps achieve prevail high extent vbm implementation late diffusion stages firms listed stock market positive association vbm sophistication interconnections organizational structure variables vbm sophistication appear listed unlisted firms 2022 authors,"The influence of organizational structure on value-based management sophistication. Despite the widespread use of value-based management (VBM) in European companies, studies investigating the reasons for the differences in its sophistication remain scarce and are predominantly focused on environmental and intra-organizational aspects. Since the structure of a firm as a major organizational determinant is assumed to have a considerable impact on the fit between an organization and an administrative innovation, we examine the influence of organizational structure on VBM sophistication. Based on survey data from 117 large for-profit firms in Austria, Germany and Switzerland, our findings indicate that the organizational structure variables centralization, formalization and horizontal integration are positively associated with VBM sophistication. Our data provide insight into the interconnection of specific organizational structure variables on particular VBM subdimensions. The findings illustrate that a high level of centralization is positively associated with the political fit of an organization with VBM, while vertical differentiation seems to have a negative relationship with the cultural fit with VBM. High levels of formalization and horizontal integration indicate a technical, political and cultural fit with VBM, which helps to achieve and prevail a high extent of VBM implementation in late diffusion stages. While firms that are listed on the stock market show a positive association with VBM sophistication, the interconnections of organizational structure variables with VBM sophistication appear both in listed and unlisted firms. © 2022 The Authors",223,True
Mouritsen J.; Pedraza-Acosta I.; Thrane S.,"Mouritsen, Jan (6601982809); Pedraza-Acosta, Isabel (57188813416); Thrane, Sof (13002562700)",6601982809; 57188813416; 13002562700,"Performance, risk, and overflows: When are multiple management control practices related?",2022,Management Accounting Research,55,,100796,,,20,10.1016/j.mar.2022.100796,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129130106&doi=10.1016%2Fj.mar.2022.100796&partnerID=40&md5=032f9db72a1efdbf78362cf1c8b35353,"Current research relates multiple control practices as packages, systems, or accumulations. This relationship signifies that management control practices exist as multiplicities and interact in various ways. These interactions strengthen management control practices. However, this generalisation misses the when of relations, which is a problem, as management control practices are not always related, for example, because they often have their own domain attached to an organisational entity's tasks. This paper reports on a study of a firm's (Automaker) management control of its supply chain. This was organised as two types of concern – risk and performance management – that were delegated to two organisational entities each having its associated management control practices. This organisation was a delegation of responsibilities, decision rights and control practices. The study draws on Michel Callon's distinction between framing and overflow to analyse the framing activity involved in upholding this separation and the overflows stemming from the difficulties of upholding strong framings. In effect, the paper discusses when risk and performance management practices are related, un-related and re-related and concludes that the when helps explain how the relation works to rearrange the importance of the framings and via overflows to introduce completely new framing devices. © 2022",Framing; Multiple control systems; Overflows; Performance management; Risk management; Supplier relations,,Article,Final,,Scopus,2-s2.0-85129130106,current relates multiple control practices packages systems accumulations relationship signifies management control practices exist multiplicities interact various ways interactions strengthen management control practices generalisation misses relations problem management control practices always related example often domain attached organisational entity tasks reports firm automaker management control supply chain organised two types concern risk performance management delegated two organisational entities associated management control practices organisation delegation responsibilities decision rights control practices draws michel callon distinction framing overflow analyse framing activity involved upholding separation overflows stemming difficulties upholding strong framings discusses risk performance management practices related un related related concludes helps explain relation works rearrange importance framings via overflows introduce completely new framing devices 2022,"Performance, risk, and overflows: When are multiple management control practices related?. Current research relates multiple control practices as packages, systems, or accumulations. This relationship signifies that management control practices exist as multiplicities and interact in various ways. These interactions strengthen management control practices. However, this generalisation misses the when of relations, which is a problem, as management control practices are not always related, for example, because they often have their own domain attached to an organisational entity's tasks. This paper reports on a study of a firm's (Automaker) management control of its supply chain. This was organised as two types of concern – risk and performance management – that were delegated to two organisational entities each having its associated management control practices. This organisation was a delegation of responsibilities, decision rights and control practices. The study draws on Michel Callon's distinction between framing and overflow to analyse the framing activity involved in upholding this separation and the overflows stemming from the difficulties of upholding strong framings. In effect, the paper discusses when risk and performance management practices are related, un-related and re-related and concludes that the when helps explain how the relation works to rearrange the importance of the framings and via overflows to introduce completely new framing devices. © 2022",200,True
Firk S.; Richter S.; Wolff M.,"Firk, Sebastian (57188993914); Richter, Sven (57222352338); Wolff, Michael (36948231300)",57188993914; 57222352338; 36948231300,Does value-based management facilitate managerial decision-making? An analysis of divestiture decisions,2021,Management Accounting Research,51,,100736,,,18,10.1016/j.mar.2021.100736,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102467324&doi=10.1016%2Fj.mar.2021.100736&partnerID=40&md5=81663a37f7ece1a851f6395ae20eca4d,"While recent studies indicate that value-based management (VBM) helps owners in aligning managerial interests (i.e., decision-influencing role), little evidence is provided for its support in managerial decision-making (i.e., decision-facilitating role). We investigate whether the depth of VBM implementation and contextual factors may determine VBM's decision-facilitating role. We investigate our research question on a dataset of 1,774 divestitures by European firms between 2005 and 2016. Divestitures allow for the analysis of managerial decision-making in situations where managerial self-interest is less pronounced and, thus, where VBM's decision-facilitating role can be differentiated from its decision-influencing role. Our empirical results indicate that VBM implementation down to the business-unit level is positively associated with divestiture returns, while we find no such effect if VBM implementation is limited to the corporate level. Further empirical tests indicate that this positive association is contingent on a high dispersion of the costs of capital across a firm's business portfolio. In sum, our study indicates that VBM can facilitate managerial decision-making when firms consider its depth of implementation and firm-specific information needs. © 2021 The Author(s)",Decision-facilitating role; Divestitures; Performance measurement; Value-based management,,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85102467324,recent studies indicate value management vbm helps owners aligning managerial interests decision influencing role little provided support managerial decision making decision facilitating role whether depth vbm implementation contextual factors determine vbm decision facilitating role question dataset 774 divestitures european firms 2005 2016 divestitures allow managerial decision making situations managerial self interest less pronounced thus vbm decision facilitating role differentiated decision influencing role empirical results indicate vbm implementation business unit level positively associated divestiture returns vbm implementation limited corporate level empirical tests indicate positive association contingent high dispersion costs capital across firm business portfolio sum indicates vbm facilitate managerial decision making firms consider depth implementation firm specific information needs 2021 author,"Does value-based management facilitate managerial decision-making? An analysis of divestiture decisions. While recent studies indicate that value-based management (VBM) helps owners in aligning managerial interests (i.e., decision-influencing role), little evidence is provided for its support in managerial decision-making (i.e., decision-facilitating role). We investigate whether the depth of VBM implementation and contextual factors may determine VBM's decision-facilitating role. We investigate our research question on a dataset of 1,774 divestitures by European firms between 2005 and 2016. Divestitures allow for the analysis of managerial decision-making in situations where managerial self-interest is less pronounced and, thus, where VBM's decision-facilitating role can be differentiated from its decision-influencing role. Our empirical results indicate that VBM implementation down to the business-unit level is positively associated with divestiture returns, while we find no such effect if VBM implementation is limited to the corporate level. Further empirical tests indicate that this positive association is contingent on a high dispersion of the costs of capital across a firm's business portfolio. In sum, our study indicates that VBM can facilitate managerial decision-making when firms consider its depth of implementation and firm-specific information needs. © 2021 The Author(s)",176,True
Jemine G.; Puyou F.-R.; Dubois C.,"Jemine, Grégory (57210361355); Puyou, François-Régis (35185393900); Dubois, Christophe (16506417400)",57210361355; 35185393900; 16506417400,The diffusion of management fashions as software in an intermediated market: The case of continuous accounting,2023,Management Accounting Research,61,,100852,,,1,10.1016/j.mar.2023.100852,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156087597&doi=10.1016%2Fj.mar.2023.100852&partnerID=40&md5=d015e489996c93d2b3139726ebeea352,"Increasingly, management techniques and trends in accounting are incorporated into software. Continuous accounting, understood as the automated processing of firms’ accounting records to deliver real-time financial information, can be seen as a contemporary illustration of a shared belief that newly developed software stand at the forefront of progress in accounting. While such technologies are usually pictured as promising, the dynamics underlying their diffusion among accounting firms have drawn limited scholarly interest so far. Consequently, this paper sets out to explore how management fashions diffuse when they are embedded into software from the outset and sold on intermediated markets where resellers shape the interactions between fashion setters and fashion users. While extant literature on management fashions has mostly investigated cases where innovators actively promote new management concepts and ideas towards fashion users, the paper unveils the crucial role played by market intermediaries in the selection, processing, and dissemination of innovations sold as software. A revised framework of management fashion setting in intermediated markets is developed, which simultaneously contributes to the literature on management accounting innovations embedded into software and to the management fashion theory by highlighting how market intermediaries strive to maintain control over the diffusion of innovations. © 2023 Elsevier Ltd",Accounting software; Continuous accounting; Innovation diffusion; Management fashion; Market intermediaries; Resellers,,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85156087597,increasingly management techniques trends accounting incorporated software continuous accounting understood automated processing firms accounting records deliver real time financial information seen contemporary illustration shared belief newly developed software stand forefront progress accounting technologies usually pictured promising dynamics underlying diffusion among accounting firms drawn limited scholarly interest far consequently sets explore management fashions diffuse embedded software outset sold intermediated markets resellers shape interactions fashion setters fashion users extant management fashions mostly investigated cases innovators actively promote new management concepts ideas towards fashion users unveils crucial role played market intermediaries selection processing dissemination innovations sold software revised framework management fashion setting intermediated markets developed simultaneously contributes management accounting innovations embedded software management fashion theory highlighting market intermediaries strive maintain control diffusion innovations 2023 elsevier ltd,"The diffusion of management fashions as software in an intermediated market: The case of continuous accounting. Increasingly, management techniques and trends in accounting are incorporated into software. Continuous accounting, understood as the automated processing of firms’ accounting records to deliver real-time financial information, can be seen as a contemporary illustration of a shared belief that newly developed software stand at the forefront of progress in accounting. While such technologies are usually pictured as promising, the dynamics underlying their diffusion among accounting firms have drawn limited scholarly interest so far. Consequently, this paper sets out to explore how management fashions diffuse when they are embedded into software from the outset and sold on intermediated markets where resellers shape the interactions between fashion setters and fashion users. While extant literature on management fashions has mostly investigated cases where innovators actively promote new management concepts and ideas towards fashion users, the paper unveils the crucial role played by market intermediaries in the selection, processing, and dissemination of innovations sold as software. A revised framework of management fashion setting in intermediated markets is developed, which simultaneously contributes to the literature on management accounting innovations embedded into software and to the management fashion theory by highlighting how market intermediaries strive to maintain control over the diffusion of innovations. © 2023 Elsevier Ltd",201,True
Douthit J.; Majerczyk M.; Shi B.; Thomas T.,"Douthit, Jeremy (55505328900); Majerczyk, Michael (56891508500); Shi, Bei (57863512400); Thomas, Tyler (56739905800)",55505328900; 56891508500; 57863512400; 56739905800,How the realized measure of a worker's performance affects their perception of their compensation,2025,Management Accounting Research,66,,100927,,,0,10.1016/j.mar.2025.100927,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217951317&doi=10.1016%2Fj.mar.2025.100927&partnerID=40&md5=e1ef1b99215df428eafa6427da1acd57,"Workers often struggle to fully appreciate the quality of their performance. Rather, workers use the measure of their performance that is realized from their firm's measurement system, which is typically imperfect, as a guide to do so. This study examines how workers’ perceptions about their compensation depend on the realized measure of their performance. Our experimental results suggest that before performing a task, workers display a fairness sentiment whereby they expect compensation to decrease as the measure of performance suggests worse performance. However, once the measure of their performance is realized, workers’ fairness sentiments weaken, and they request higher-than-expected compensation, with this deviation increasing as the realized measure worsens. Thus, a realized measure of performance distorts workers’ perceptions about their compensation and their fairness sentiments. This suggests that the benefits of perceived “fair” worker compensation are less likely to occur once workers have realized measures of performance. © 2025 The Authors",Compensation; Fairness sentiments; Performance measurement,,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85217951317,workers often struggle fully appreciate quality performance rather workers measure performance realized firm measurement system typically imperfect guide examines workers perceptions compensation depend realized measure performance experimental results performing task workers display fairness sentiment whereby expect compensation decrease measure performance suggests worse performance measure performance realized workers fairness sentiments weaken request higher expected compensation deviation increasing realized measure worsens thus realized measure performance distorts workers perceptions compensation fairness sentiments suggests benefits perceived fair worker compensation less likely occur workers realized measures performance 2025 authors,"How the realized measure of a worker's performance affects their perception of their compensation. Workers often struggle to fully appreciate the quality of their performance. Rather, workers use the measure of their performance that is realized from their firm's measurement system, which is typically imperfect, as a guide to do so. This study examines how workers’ perceptions about their compensation depend on the realized measure of their performance. Our experimental results suggest that before performing a task, workers display a fairness sentiment whereby they expect compensation to decrease as the measure of performance suggests worse performance. However, once the measure of their performance is realized, workers’ fairness sentiments weaken, and they request higher-than-expected compensation, with this deviation increasing as the realized measure worsens. Thus, a realized measure of performance distorts workers’ perceptions about their compensation and their fairness sentiments. This suggests that the benefits of perceived “fair” worker compensation are less likely to occur once workers have realized measures of performance. © 2025 The Authors",151,True
Toldbod T.; Laursen L.N.,"Toldbod, Thomas (57195635573); Laursen, Linda Nhu (57117479800)",57195635573; 57117479800,Time and the sequential integration of management controls in open innovation between Unilever and its partners: A procedural perspective,2024,Management Accounting Research,65,,100901,,,6,10.1016/j.mar.2024.100901,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193978309&doi=10.1016%2Fj.mar.2024.100901&partnerID=40&md5=416b7eb3773784ab89e7d74fdd45d410,"The purpose of this paper is to examine management control integration through the lens of process theory. Based on a case study of the FOODS project, an open innovation project between Unilever and its partners, we show how the integration of countervailing management controls (known as “dynamic tension” in management control literature) unfolds over time. We argue that Unilever and its partners were able to effectively integrate countervailing controls, even though we do not observe these simultaneously at the same time. The FOODS project demonstrates that shifting between countervailing management controls across the distinct phases of an open innovation process that lasted approximately three-and-a-half years allowed the partners to balance their diverse strategic and operational objectives. In that sense, countervailing management controls were integrated into the open innovation process, but over time, rather than at one moment. Whereas current management control research depicts the separation and integration of countervailing management controls as incompatible contradictions, i.e., either countervailing management controls are separated or integrated, we argue that the seeming contradictions of separation and integration of management controls can actually complement each other. Organizations can separate countervailing management controls to achieve a unidimensional focus within a temporal zone. When we investigate these phases, it becomes clear that a significant amount of time was invested before they were able to resolve the intended control problems. However, because this separation of management controls is limited to temporal zones within the same overall process, countervailing management controls are integrated to shape the overall process over time. © 2024 The Authors",Dynamic tension; Interorganizational innovation; Management control; Operational fit; Strategic fit; Time,,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85193978309,purpose management control integration lens process theory case foods project open innovation project unilever partners integration countervailing management controls known dynamic tension management control unfolds time argue unilever partners able effectively integrate countervailing controls even though observe simultaneously time foods project demonstrates shifting countervailing management controls across distinct phases open innovation process lasted approximately three half years allowed partners balance diverse strategic operational objectives sense countervailing management controls integrated open innovation process time rather one moment whereas current management control depicts separation integration countervailing management controls incompatible contradictions either countervailing management controls separated integrated argue seeming contradictions separation integration management controls actually complement organizations separate countervailing management controls achieve unidimensional focus within temporal zone phases becomes clear significant amount time invested able resolve intended control problems separation management controls limited temporal zones within overall process countervailing management controls integrated shape overall process time 2024 authors,"Time and the sequential integration of management controls in open innovation between Unilever and its partners: A procedural perspective. The purpose of this paper is to examine management control integration through the lens of process theory. Based on a case study of the FOODS project, an open innovation project between Unilever and its partners, we show how the integration of countervailing management controls (known as “dynamic tension” in management control literature) unfolds over time. We argue that Unilever and its partners were able to effectively integrate countervailing controls, even though we do not observe these simultaneously at the same time. The FOODS project demonstrates that shifting between countervailing management controls across the distinct phases of an open innovation process that lasted approximately three-and-a-half years allowed the partners to balance their diverse strategic and operational objectives. In that sense, countervailing management controls were integrated into the open innovation process, but over time, rather than at one moment. Whereas current management control research depicts the separation and integration of countervailing management controls as incompatible contradictions, i.e., either countervailing management controls are separated or integrated, we argue that the seeming contradictions of separation and integration of management controls can actually complement each other. Organizations can separate countervailing management controls to achieve a unidimensional focus within a temporal zone. When we investigate these phases, it becomes clear that a significant amount of time was invested before they were able to resolve the intended control problems. However, because this separation of management controls is limited to temporal zones within the same overall process, countervailing management controls are integrated to shape the overall process over time. © 2024 The Authors",255,True
Qiu F.; Hu N.; Liang P.; Dow K.,"Qiu, Fangjuan (57226151873); Hu, Nan (14619332100); Liang, Peng (57930573500); Dow, Kevin (7006364400)",57226151873; 14619332100; 57930573500; 7006364400,Measuring management accounting practices using textual analysis,2023,Management Accounting Research,58,,100818,,,32,10.1016/j.mar.2022.100818,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141261396&doi=10.1016%2Fj.mar.2022.100818&partnerID=40&md5=c2fc1c00a9b452ccb014dcfa247d00af,"Management accounting is an important component of managerial decision-making to help guide the overall business strategy in organisations. Appropriate measures of management accounting practices (MAPs) allow academics and practitioners to assess the organisations’ MAP adoption effectively. In this study, based on qualitative information disclosed in annual reports from 2003 to 2019, we construct and validate novel and comprehensive measures of firm-level MAPs using the word embedding model Word2Vec. We illustrate the predictive validity of our measures by examining the determinants and value creation function of fitted MAPs. Our novel measures of MAPs not only provide a solid foundation for large scale sample empirical analyses of management accounting research but also pave a new way to investigate MAPs as a package. © 2022",Contingency theory; Corporate lifecycle stages; Management accounting practices; Value creation; Word embedding model,,Article,Final,,Scopus,2-s2.0-85141261396,management accounting important component managerial decision making help guide overall business strategy organisations appropriate measures management accounting practices maps allow academics practitioners assess organisations map adoption effectively qualitative information disclosed annual reports 2003 2019 construct validate novel comprehensive measures firm level maps word embedding model word2vec illustrate predictive validity measures examining determinants value creation function fitted maps novel measures maps solid foundation large scale sample empirical analyses management accounting pave new way maps package 2022,"Measuring management accounting practices using textual analysis. Management accounting is an important component of managerial decision-making to help guide the overall business strategy in organisations. Appropriate measures of management accounting practices (MAPs) allow academics and practitioners to assess the organisations’ MAP adoption effectively. In this study, based on qualitative information disclosed in annual reports from 2003 to 2019, we construct and validate novel and comprehensive measures of firm-level MAPs using the word embedding model Word2Vec. We illustrate the predictive validity of our measures by examining the determinants and value creation function of fitted MAPs. Our novel measures of MAPs not only provide a solid foundation for large scale sample empirical analyses of management accounting research but also pave a new way to investigate MAPs as a package. © 2022",122,True
Wobst J.; Röttger P.; Lueg R.,"Wobst, Janice (58409562600); Röttger, Philipp (60166910400); Lueg, Rainer (35262708500)",58409562600; 60166910400; 35262708500,Measuring value-based management using natural language processing,2025,Management Accounting Research,67,,100946,,,0,10.1016/j.mar.2025.100946,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020593560&doi=10.1016%2Fj.mar.2025.100946&partnerID=40&md5=65207d80725f567bf9f43b2a13d1a747,"We propose an alternative approach to quantifying a firm’s value-based management (VBM) sophistication. The approach uses natural language processing (NLP) and builds on a newly developed, customised dictionary. We describe the development of this dictionary and validate the resulting measure for a large sample of European listed firms (STOXX Europe 600 Index) using tests of internal consistency, construct validity, and relevant robustness checks. In doing so, we present a novel application of NLP in management accounting. We also contribute a customised, open-source dictionary for the measurement of VBM sophistication thereby creating opportunities for future research. © 2025 The Authors.",Natural language processing; Textual analysis; Validity; Value-based management,,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105020593560,alternative approach quantifying firm value management vbm sophistication approach uses natural language processing nlp builds newly developed customised dictionary describe development dictionary validate resulting measure large sample european listed firms stoxx europe 600 index tests internal consistency construct validity relevant robustness checks present novel application nlp management accounting contribute customised open source dictionary measurement vbm sophistication thereby creating opportunities future 2025 authors,"Measuring value-based management using natural language processing. We propose an alternative approach to quantifying a firm’s value-based management (VBM) sophistication. The approach uses natural language processing (NLP) and builds on a newly developed, customised dictionary. We describe the development of this dictionary and validate the resulting measure for a large sample of European listed firms (STOXX Europe 600 Index) using tests of internal consistency, construct validity, and relevant robustness checks. In doing so, we present a novel application of NLP in management accounting. We also contribute a customised, open-source dictionary for the measurement of VBM sophistication thereby creating opportunities for future research. © 2025 The Authors.",99,True
Löffler C.; Schmid C.,"Löffler, Clemens (23971070000); Schmid, Christian (57208438651)",23971070000; 57208438651,Task assignment and pay dispersion under moral hazard,2024,Management Accounting Research,64,,100866,,,0,10.1016/j.mar.2023.100866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174176833&doi=10.1016%2Fj.mar.2023.100866&partnerID=40&md5=5c28ec0b98f5fad8b03646ce93df4f22,"We study a moral hazard problem where a principal assigns tasks that differ in the precision of their performance measures to agents who differ in their risk aversion. We solve for the optimal task assignment and observe that if both tasks are sufficiently easy to measure, the principal assigns the task involving the noisier performance measure to the less risk-averse agent. This assignment results in similar effort levels on both tasks and implies low pay dispersion within a firm. However, for generally noisy performance measures or if there is a significant range in the precision of the tasks’ performance measures, the principal assigns the task involving the noisier performance measure to the more risk-averse agent. This assignment drives effort levels apart and results in high pay dispersion among agents. The result of varying optimal pay dispersion is preserved in settings with interdependencies among tasks such as production synergies or correlated performance measures. We further show that the optimal task assignment always assures efficient risk bearing among agents, which stipulates that the agent who is least averse to facing risks bears a greater compensation risk. © 2023 The Authors",Efficiency in risk bearing; Incentive compensation; Pay dispersion; Performance measurement; Risk aversion; Task assignment,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85174176833,moral hazard problem principal assigns tasks differ precision performance measures agents differ risk aversion solve optimal task assignment observe tasks sufficiently easy measure principal assigns task involving noisier performance measure less risk averse agent assignment results similar effort levels tasks implies low pay dispersion within firm generally noisy performance measures significant range precision tasks performance measures principal assigns task involving noisier performance measure risk averse agent assignment drives effort levels apart results high pay dispersion among agents varying optimal pay dispersion preserved settings interdependencies among tasks production synergies correlated performance measures optimal task assignment always assures efficient risk bearing among agents stipulates agent least averse facing risks bears greater compensation risk 2023 authors,"Task assignment and pay dispersion under moral hazard. We study a moral hazard problem where a principal assigns tasks that differ in the precision of their performance measures to agents who differ in their risk aversion. We solve for the optimal task assignment and observe that if both tasks are sufficiently easy to measure, the principal assigns the task involving the noisier performance measure to the less risk-averse agent. This assignment results in similar effort levels on both tasks and implies low pay dispersion within a firm. However, for generally noisy performance measures or if there is a significant range in the precision of the tasks’ performance measures, the principal assigns the task involving the noisier performance measure to the more risk-averse agent. This assignment drives effort levels apart and results in high pay dispersion among agents. The result of varying optimal pay dispersion is preserved in settings with interdependencies among tasks such as production synergies or correlated performance measures. We further show that the optimal task assignment always assures efficient risk bearing among agents, which stipulates that the agent who is least averse to facing risks bears a greater compensation risk. © 2023 The Authors",188,True
Trevisan P.; Mouritsen J.,"Trevisan, Paola (57514298500); Mouritsen, Jan (6601982809)",57514298500; 6601982809,Compromises and compromising: Management accounting and decision-making in a creative organisation,2023,Management Accounting Research,60,,100839,,,13,10.1016/j.mar.2023.100839,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150419867&doi=10.1016%2Fj.mar.2023.100839&partnerID=40&md5=c13eae0a0307a499bea6f7cffd9f5713,"This paper explores how actors handle multiple values in decision-making practices in a creative organisation. Drawing on Boltanski and Thévenot's notion of compromise as a situation that includes and transcends multiple principles of value for the sake of a common, yet unarticulated, good, this paper analyses valuation practices that lead to production decisions in an opera house. It proposes compromising and compromises as two modalities that are used to understand the role of accounting and control objects in decision-making in cultural and creative organizations. In compromising situations, actors mobilize relations of equivalence that enable them to trade off, negotiate and mediate different principles through dynamic valuation practices that involve critiques and justifications. Here, both accounting and inspiration objects are mobilised to persuade actors, constrain decisions and mediate between values. In compromises, in contrast, actors create ambiguous associations between industrial, market and inspiration values that suspend critiques and requests for clarifications. Here, accounting and controls are mobilised as ambiguous objects, both becoming a resource for a higher common good and articulating an industrial order of worth that is plastic and vibrant. © 2023 The Authors",Accounting and controls; Ambiguous objects; Compromise; Compromising; Cultural and creative industries; Decision-making; Orders of worth,,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85150419867,explores actors handle multiple values decision making practices creative organisation drawing boltanski th venot notion compromise situation includes transcends multiple principles value sake common yet unarticulated good analyses valuation practices lead production decisions opera house proposes compromising compromises two modalities used understand role accounting control objects decision making cultural creative organizations compromising situations actors mobilize relations equivalence enable trade negotiate mediate different principles dynamic valuation practices involve critiques justifications accounting inspiration objects mobilised persuade actors constrain decisions mediate values compromises contrast actors create ambiguous associations industrial market inspiration values suspend critiques requests clarifications accounting controls mobilised ambiguous objects becoming resource higher common good articulating industrial order worth plastic vibrant 2023 authors,"Compromises and compromising: Management accounting and decision-making in a creative organisation. This paper explores how actors handle multiple values in decision-making practices in a creative organisation. Drawing on Boltanski and Thévenot's notion of compromise as a situation that includes and transcends multiple principles of value for the sake of a common, yet unarticulated, good, this paper analyses valuation practices that lead to production decisions in an opera house. It proposes compromising and compromises as two modalities that are used to understand the role of accounting and control objects in decision-making in cultural and creative organizations. In compromising situations, actors mobilize relations of equivalence that enable them to trade off, negotiate and mediate different principles through dynamic valuation practices that involve critiques and justifications. Here, both accounting and inspiration objects are mobilised to persuade actors, constrain decisions and mediate between values. In compromises, in contrast, actors create ambiguous associations between industrial, market and inspiration values that suspend critiques and requests for clarifications. Here, accounting and controls are mobilised as ambiguous objects, both becoming a resource for a higher common good and articulating an industrial order of worth that is plastic and vibrant. © 2023 The Authors",184,True
