topic_id,JMAR,JOMAC,MAR,Total,Label
0,43,10,7,60,T0: Exec. Comp. & Governance
1,29,7,15,51,T1: Perf. Meas. & Behavior
2,12,12,13,37,T2: MA Profession & Digital
3,9,8,8,25,T3: Pay Transparency
4,14,6,4,24,T4: Cost Behavior
5,4,15,3,22,T5: MCS & Risk
6,2,8,7,17,T6: Sustainability
7,3,7,1,11,T7: Budgeting
8,7,3,0,10,T8: Subj. Perf. Eval.
9,3,3,3,9,T9: Trust & Relational
10,5,0,3,8,T10: Analytical Models
