topic_id,Analytical,Archival,Experimental,Other/Mixed,Qualitative,Survey/Field
0,0,18,4,34,1,3
1,2,1,25,15,1,7
2,0,0,1,18,10,8
3,0,0,15,9,1,0
4,1,4,1,18,0,0
5,0,0,1,9,8,4
6,0,0,1,6,5,5
7,0,1,0,5,0,5
8,0,1,5,3,0,1
9,0,0,1,6,1,1
10,1,0,2,4,0,1
