journal,Analytical,Archival,Experimental,Other/Mixed,Qualitative,Survey/Field
MAR,6.0,1.2,21.7,37.3,15.7,18.1
JMAR,4.9,1.4,32.2,53.8,3.5,4.2
JOMAC,6.8,3.4,18.2,29.5,19.3,22.7
