topic_id,MAR,JMAR,JOMAC,Label
0,11.7,71.7,16.7,T0: Exec. Comp. & Governance
1,29.4,56.9,13.7,T1: Perf. Meas. & Behavior
2,35.1,32.4,32.4,T2: MA Profession & Digital
3,32.0,36.0,32.0,T3: Pay Transparency
4,16.7,58.3,25.0,T4: Cost Behavior
5,13.6,18.2,68.2,T5: MCS & Risk
6,41.2,11.8,47.1,T6: Sustainability
7,9.1,27.3,63.6,T7: Budgeting
8,0.0,70.0,30.0,T8: Subj. Perf. Eval.
9,33.3,33.3,33.3,T9: Trust & Relational
10,37.5,62.5,0.0,T10: Analytical Models
