topic_id,MAR,JMAR,JOMAC,Label
0,0.44,1.58,0.6,T0: Exec. Comp. & Governance
1,1.11,1.25,0.49,T1: Perf. Meas. & Behavior
2,1.33,0.71,1.16,T2: MA Profession & Digital
3,1.21,0.79,1.14,T3: Pay Transparency
4,0.63,1.28,0.89,T4: Cost Behavior
5,0.52,0.4,2.44,T5: MCS & Risk
6,1.56,0.26,1.68,T6: Sustainability
7,0.34,0.6,2.27,T7: Budgeting
8,0.0,1.54,1.07,T8: Subj. Perf. Eval.
9,1.26,0.73,1.19,T9: Trust & Relational
10,1.42,1.37,0.0,T10: Analytical Models
